מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
320,דמות,רבי יוסף אבן טבול,1545–1616 בקירוב,מרוקו וצפת,אחרונים,קבלה,דרושי חפצי בה,מתלמידי האר״י ששימר והפיץ מסורת עצמאית של הקבלה הלוריאנית.,ריבוי מסורות יכול לחשוף פנים שונות של אותה אמת.,"האר״י, רבי חיים ויטאל",https://open.spotify.com/episode/47ATwhBfywYAPzHptQjjic?si=6znBqpKgSqCmqRt_PXFstA
321,דמות,רבי יעקב בן חננאל סיקילי,המאה ה־14,ספרד,ראשונים,"הלכה, דרשנות וגאולה","ילקוט תלמוד תורה, תורת המנחה",מתלמידי הרשב״א שהדגיש את קדושת הארץ וחידוש החיים הלאומיים בארץ ישראל.,הגאולה דורשת גם יוזמה ומעשה אנושי.,הרשב״א,https://open.spotify.com/episode/0QDA50K2sCFRYcR3kLXrpM?si=t6DdGiFSSbyzDnblZLeg6g
322,דמות,רבי ישראל סרוג,סוף המאה ה־16 וראשית ה־17,איטליה ואירופה,אחרונים,קבלה,"עמק המלך, תורת המלבוש",ממפיצי קבלת האר״י באירופה ומפתח זרם מרכזי בקבלה הלוריאנית.,הפצת החכמה היא חלק מתהליך הגאולה.,"האר״י, הרמ״ע מפאנו",https://open.spotify.com/episode/0qevAfcXSrvElyw0v6rmd4?si=IIo9QsSORqaBIa-6KwBxWw
323,דמות,הרב שלמה יוסף זוין,1886–1978,רוסיה וישראל,העת החדשה,"הלכה, מחשבה ועריכה תורנית","האנציקלופדיה התלמודית, המועדים בהלכה","רב, סופר ועורך מפעל האנציקלופדיה התלמודית, שחיבר בין למדנות, חסידות וכתיבה מודרנית.",אפשר ליצור סדר ובהירות בלי לאבד את עומק התורה.,"חב״ד, האנציקלופדיה התלמודית",https://open.spotify.com/episode/51WVPh2bMIsk9wHI1sMe3i?si=r6lmz7N1TzGtMoGPTByEGA
324,דמות,רבי קרשקש וידאל,המאה ה־13–14,ספרד ופרובאנס,ראשונים,"הלכה, תלמוד ופילוסופיה",חידושי רבי קרשקש וידאל,"מתלמידי הרשב״א והרא״ה, שנודע כמפשר מרכזי בפולמוס הפילוסופיה ביהדות ספרד.",איזון בין פתיחות מחשבתית לנאמנות למסורת.,"הרשב״א, הרא״ה, הר״ן",https://open.spotify.com/episode/3IdyRVwc1dlzf9R2fYok1q?si=1Gl3GyLKT--eFnYqMM4QBA
325,דמות,האדר״ת (רבי אליהו דוד רבינוביץ'-תאומים),1843–1905,ליטא וירושלים,העת החדשה,"הלכה, מוסר והנהגה ציבורית","סדר אליהו, נפש דוד","רבה של פוניבז', מיר וירושלים, ומחותנו של הראי״ה קוק.",גדלות בתורה מחייבת אחריות ציבורית ודוגמה אישית.,"הראי״ה קוק, רבי שמואל סלנט",https://open.spotify.com/episode/7zHC1A3dQMNYpbYXahsYQd?si=uN2UN7MhRqCj-paZ5gS61Q
326,דמות,רבי יוסף ג'יקטיליה,1248–1325,ספרד,ראשונים,קבלה ומחשבה,"שערי אורה, גינת אגוז",מגדולי מקובלי ספרד ומסדר שיטת הספירות ושמות הקודש.,הטבע והקדושה הם גילויים שונים של אותה מציאות אלוקית.,"רבי אברהם אבולעפיה, האר״י",https://open.spotify.com/episode/4HMEfax0JRi5AhwtdObjpn?si=ZlpfNgYmQXSGNT69VcrROg
327,דמות,הרב צבי פסח פראנק,1873–1960,ליטא וישראל,העת החדשה,הלכה ורבנות ציבורית,"שו״ת הר צבי, מקראי קודש",רבה הראשי של ירושלים ומגדולי פוסקי ארץ ישראל בתקופת התחייה והקמת המדינה.,פסיקה הלכתית צריכה לשלב נאמנות למסורת עם אחריות לאומית.,"הראי״ה קוק, רבי שמואל סלנט",https://open.spotify.com/episode/6ONQBYcz8cRuTuz4ULWE6l?si=S7F5bpXISLaDUp3fZPQ_zw
328,דמות,רבי שלמה אבן גבירול,1021–1058 בקירוב,"מלגה וסרגוסה, ספרד",תור הזהב בספרד,שירה ופילוסופיה,"תור הזהב, פיוט, פילוסופיה ניאופלטונית, כתר מלכות, מקור חיים","משורר ופילוסוף מגדולי תור הזהב בספרד. חיבר את ""כתר מלכות"" ואת ""מקור חיים"" — יצירה פילוסופית שהשפיעה גם על ההגות הנוצרית בימי הביניים.",שילוב שירת קודש ופילוסופיה ניאופלטונית — הנפש עולה אל מקור החיים דרך התבוננות והכרה.,שמואל הנגיד; רבי יהודה הלוי; רבי משה אבן עזרא,https://open.spotify.com/episode/3n1i3UevwUsbqZszadtNin?si=6Qg0sUUsSZmvv2KeWW12KQ
329,דמות,רבי ישראל אבוחצירא (הבבא סאלי),1889–1984,"תאפיללת (מרוקו); נתיבות, ארץ ישראל",עת חדשה,קבלה והנהגה,"קבלה, צדיקות, מרוקו, נתיבות, שושלת אבוחצירא, ברכות","מקובל וצדיק ממשפחת אבוחצירא, נכדו של ה""אביר יעקב"". עלה ממרוקו והתיישב בנתיבות, שהפכה למוקד עלייה לרגל. נודע בפרישותו, בתפילותיו ובברכותיו.",קדושה ופרישות ככלי הנהגה ציבורית — דבקות אישית שמקרינה על עם שלם.,רבי יעקב אבוחצירא; שושלת אבוחצירא,https://open.spotify.com/episode/4zNV0OTiJsa1CUIm4xsy4e?si=lD9RIUmYSHyfLAYBk1_jiw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
330,דמות,"מהר""ש נוישטט (רבי שלום מנוישטט)",נפטר בסביבות 1413,"וינה ווינר נוישטט, אוסטריה",ראשונים מאוחרים,הלכה ומנהג,"מנהגי אשכנז, פסיקה, אוסטריה, רבו של המהרי""ל","מגדולי חכמי אשכנז בדור שלפני המהרי""ל ורבו המובהק. תורתו ומנהגיו תועדו בספר ""הלכות ומנהגי מהר""ש"" ועיצבו את מסורת המנהג האשכנזי.",המנהג כמקור הלכתי מחייב — תיעוד מנהגי הקהילות כבסיס לפסיקה.,רבי יעקב מולין; רבי ישראל איסרלן,
331,דמות,הרב ראובן מרגליות,1889–1971,לבוב; תל אביב,המאה ה־20,חקר התלמוד וביבליוגרפיה,"ביבליוגרפיה, מכון הרי פישל, פרס ישראל, שולי הגיליון, מרגליות הים","חוקר תורני וביבליוגרף מופלא, חתן פרס ישראל לספרות תורנית. חיבר עשרות ספרים בחקר התלמוד, הזוהר וההלכה, ושימש מנהל ספריית הרמב""ם בתל אביב.",דיוק ביבליוגרפי ככלי תורני — איתור מקורות והצלבתם חושפים את רציפות המסורת.,"רבי ישראל מאיר הכהן מראדין; החיד""א",https://open.spotify.com/episode/30nPMpyfBOS0oMuIfZlC7M?si=NCG5ucC9R1yITOkUq3hqAg
332,דמות,רבי יהודה מוסקאטו,1530–1593 בקירוב,"מנטובה, איטליה",רנסנס,דרשנות ופילוסופיה,"רנסנס איטלקי, דרשנות, נפוצות יהודה, קול יהודה, הכוזרי","מגדולי הדרשנים של יהדות איטליה ברנסנס. חיבר את קובץ הדרשות ""נפוצות יהודה"" ואת ""קול יהודה"" — הפירוש הקלאסי לספר הכוזרי.","מיזוג חכמת הרנסנס עם מסורת ישראל — רטוריקה, מוזיקה ופילוסופיה בשירות הדרשה.",רבי יהודה הלוי,https://open.spotify.com/episode/7n0jYXxrbyEW9fBiNOO0uc?si=WedYH--HRpGr71wfXixalg
333,דמות,שמואל (האמורא),המאה ה־3 לספירה (בערך 165–257),"נהרדעא, בבל",אמוראים,"הלכה, אסטרונומיה ורפואה","אמוראי בבל, נהרדעא, דינא דמלכותא דינא, לוח השנה, רב ושמואל","מגדולי אמוראי בבל וראש ישיבת נהרדעא, שביסס את עצמאותו של המרכז התורני בבבל מול ארץ ישראל. שילב גדלות הלכתית עם מומחיות באסטרונומיה וברפואה, וקבע את העיקרון ""דינא דמלכותא דינא"" שהסדיר את חיי הגולה.","מנהיגות ריאליסטית — עיגון הלכתי לקיום יהודי בגולה באמצעות ""דינא דמלכותא דינא"" ושליטה בחכמות העולם.","רב (אבא אריכא), רבי יהודה הנשיא, רב יהודה",
334,דמות,שמעון בר כוכבא,מרד 132–136 לספירה,יהודה,תנאים,הנהגה מדינית וצבאית,"מרד בר כוכבא, ביתר, רבי עקיבא, משיחיות, מטבעות המרד","מנהיג המרד האחרון ברומא (132–136), שכונן ריבונות יהודית קצרת ימים ביהודה עם מינהל, מטבעות ומערכות מסתור. חז""ל נחלקו בדמותו — בין משיחיות לאכזבה — ובעת החדשה שב כסמל של גבורה לאומית.",ריבונות כערך דתי־לאומי — הניסיון הממוסד האחרון לגאולה ארצית בכוח אנושי.,"רבי עקיבא, אדריאנוס קיסר",
335,דמות,רבי ישראל נג'ארה,בערך 1555–1625,צפת; דמשק; עזה,ראשית העת החדשה,"פיוט, הלכה וקבלה","פיוט, קה ריבון עלם, קבלת צפת, שירה עברית, עזה","מגדולי המשוררים שלאחר גירוש ספרד, מחבר ""קה ריבון עלם"". שילב לחנים מהמרחב העות'מאני עם תשוקה דתית עזה, וכיהן בסוף ימיו כרבה של עזה. שירתו הפכה את הפיוט למדיום של קדושה נגישה.","הקדושה נכנסת דרך הניגון — ""גיור"" לחנים זרים והפיכת השירה לעבודת ה' רגשית ואינטימית.","האר""י הקדוש, רבי משה נג'ארה (אביו)",
336,דמות,תודוס איש רומי,המאה ה־1 לספירה,רומא,תנאים,הנהגה קהילתית,"יהדות רומא, גדי מקולס, קידוש השם, תפוצות וארץ ישראל","מנהיג קהילת רומא בתקופת התנאים. הנהיג אכילת ""גדי מקולס"" בלילי פסחים ועורר פולמוס עם חכמים, ונודע בדרשתו על מסירות נפשם של חנניה מישאל ועזריה כמופת ליהדות הגולה.",הנהגה יהודית בתפוצות — שימור זהות וקידוש השם הרחק מהמרכז בארץ ישראל.,חכמי ארץ ישראל,
337,דמות,רבנו יונה גירונדי,בערך 1200–1263,"גירונה וברצלונה, ספרד; טולדו",ראשונים,מוסר והלכה,"שערי תשובה, מוסר, פולמוס הרמב""ם, קטלוניה","מגדולי הראשונים בספרד, מחבר ""שערי תשובה"" ו""עליות דרבנו יונה"". הפך את התשובה מחסידות ליחידי סגולה לחובה דתית לכלל ישראל, וחיבר בין מסורות הלימוד של צרפת וספרד.",דמוקרטיזציה של המוסר — התשובה כדרך חיים המחייבת כל אדם.,"הרמב""ן (בן דודו), הרשב""א (תלמידו)",
338,דמות,חכם דוד ניטו,1654–1728,ונציה; ליוורנו; לונדון,אחרונים,"הגות, הלכה ומדע","מטה דן, דאיזם, שבתאות, הקהילה הספרדית בלונדון, תורה שבעל פה","רבה של הקהילה הספרדית־פורטוגזית בלונדון בראשית המאה ה־18, רופא ואסטרונום. בספרו ""מטה דן"" הגן על סמכות התורה שבעל־פה בכלים רציונליים, ונאבק בזרמי הדאיזם והשבתאות.","הטבע הוא ההשגחה — זיהוי חוקי הטבע כפעולה אלוהית ישירה, כמענה רציונלי לדאיזם.","החכם צבי (שהגן עליו), חכמי איטליה",https://open.spotify.com/episode/2wO6vlCjeFe4JEEyWuh8xL?si=0tiGcmOATGiRSnC_Phgi3A
339,דמות,רבי שלמה אפרים מלונטשיץ (כלי יקר),בערך 1550–1619,פולין; פראג,אחרונים,פרשנות ודרשנות,"כלי יקר, דרשנות, פראג, ביקורת חברתית, תיקון המידות","בעל פירוש ""כלי יקר"" לתורה, דרשן וראש ישיבה שכיהן ברבנות פראג לצד המהר""ל וכממשיכו. שילב פרשנות פשט עם ביקורת מוסרית־חברתית חריפה נגד רדיפת ממון, שחיתות מנהיגות ולמדנות מנותקת.",הפרשנות כתוכחה — פשט המקרא ככלי לתיקון המידות והחברה.,"המהר""ל מפראג, המהרש""ל (רבו)",
340,דמות,הרב יצחק יעקב ריינס,1839–1915,"לידא, ליטא",העת החדשה,"הלכה, חינוך וציונות דתית","המזרחי, ציונות דתית, ישיבת לידא, לוגיקה תלמודית, תוכנית אוגנדה","מייסד תנועת ""המזרחי"" וישיבת לידא ששילבה לימודי קודש וחול. פיתח שיטת לימוד לוגית־מושגית לגמרא, והוביל ציונות מדינית פרגמטית שהעדיפה את הצלת חיי העם על שיקולי גאולה ניסית.",הפרדה בין צורכי השעה לגאולה — ביסוס הלכתי־רעיוני לציונות מדינית מעשית.,"הרב שמואל מוהליבר, בנימין זאב הרצל",https://open.spotify.com/episode/6MKql77q23ERrOc1ACLYvH?si=gbTjXyxMSdC9ky6jPP-Qeg
341,דמות,הרב אברהם יהושע צוקרמן,המאה ה־20,ירושלים; ישראל,עכשווי,חינוך והגות הציונות הדתית,"ציונות דתית, הרצי""ה קוק, אל עמי, חינוך, משנת הרב קוק","מתלמידיו המובהקים של הרצי""ה קוק ודמות מפתח בציונות הדתית. הקים מוסדות חינוך ותנועות חברתיות כ""אל עמי"", דגל בעמל כפיים וסירב להתפרנס מהתורה, והנגיש את משנת הראי""ה קוק לדורו.","היהדות כ""טבע החיים"" — אמונה הנבנית מתוך עשייה חלוצית, עמל ועבודת חינוך.","הרצי""ה קוק (רבו), הרב אלישע וישליצקי",https://open.spotify.com/episode/0GVZh265hNqdgBASfPbYhp?si=TQS8j8rgRPWy0Jri0l_QNg
342,דמות,הרב שלמה גורן,1917–1994,ישראל,המאה ה־20,הלכה צבאית וממלכתית,"הרבנות הצבאית, רב ראשי, הלכות מלחמה, הר הבית, עגונות","הרב הצבאי הראשי הראשון והרב הראשי האשכנזי לישראל. יצר מסד הלכתי לצבא ולריבונות הישראלית, התיר עגונות חללי צה""ל, וגיבש משנה סדורה בסוגיות לאומיות — מדיני מלחמה ועד העלייה להר הבית.",הלכה ממלכתית — התאמת ההלכה למדינה ולצבא מודרני מתוך קידוש חיי אדם ואומץ פסיקתי.,"הרב בן ציון מאיר חי עוזיאל, הרב עובדיה יוסף",https://open.spotify.com/episode/35CkuI8zlv4vcXlbkd2MN9?si=QQ5il2YhQASBWpNW-j_F2w
343,דמות,הרב יצחק הוטנר,1906–1980,ורשה; סלבודקה; ניו יורק; ירושלים,המאה ה־20,"מחשבה, מוסר וחינוך","פחד יצחק, ישיבת רבנו חיים ברלין, למדנות וחסידות, גדלות האדם","ראש ישיבת ""רבנו חיים ברלין"" בניו יורק ובעל סדרת ""פחד יצחק"". מיזג למדנות ליטאית אנליטית עם עומק חסידי ומוסרי, ופיתח משנה חינוכית הרואה במשברי האדם מצע הכרחי לצמיחתו הרוחנית.","""גדלות האדם"" — הנפילה והמשבר כשלבים הכרחיים בבניין האישיות הרוחנית.","הראי""ה קוק, הסבא מסלבודקה",
344,דמות,הרב יצחק אייזיק חבר,1789–1852,"ליטא (ראזינאי, סובאלק, טיקטין)",אחרונים,הלכה וקבלה,"קבלת הגר""א, בניין עולם, מגן וצינה, נגלה ונסתר","מגדולי ליטא במאה ה־19 וממשיך מסורת הגר""א בקבלה. חיבר את שו""ת ""בניין עולם"" ואת ""מגן וצינה"" להגנת קדמות הזוהר מפני ביקורת המשכילים, ופירש את הקבלה פירוש עיוני המרחיק כל הגשמה.","קבלה ליטאית שיטתית — הנגשת תורת הנסתר של הגר""א כמערכת עיונית סדורה מול אתגרי המודרנה.","הגר""א, רבי מנחם מנדל משקלוב",https://open.spotify.com/episode/5myb4NwaDvGMOOeafcJtXR?si=Ab4IllnCTAqMpuE_vZzhIg
345,דמות,רבנו שמחה מוויטרי,נפטר בערך 1105,"ויטרי, צפון צרפת",ראשונים,"הלכה, ליטורגיה ומנהג","מחזור ויטרי, בית מדרשו של רש""י, נוסח אשכנז, מנהג","מתלמידיו המובהקים של רש""י ועורך ""מחזור ויטרי"" — קומפנדיום מקיף של הלכה, תפילה ומנהג ששימר את תורת בית מדרשו של רש""י ועיצב באופן מכריע את נוסח אשכנז ודפוסי הפסיקה באירופה.",שימור כמהפכה — קיבוע מסורות שבעל־פה לקודקס כתוב שעיצב את התפילה האשכנזית לדורות.,"רש""י (רבו), בעלי התוספות",https://open.spotify.com/episode/6xiWssuJyV4GypDbnlCpl0?si=O1FhvO05Rl2-Kn2n4dgk1g&t=518
346,דמות,רבי משה די ליאון,1240–1305,"קסטיליה, ספרד",ראשונים,קבלה,"ספר הזוהר, קבלת קסטיליה, גירונה, ספרות הסוד","מגדולי המקובלים בקסטיליה במאה ה-13, שבידיו נתגלה (או נערך) ספר הזוהר. חיבר גם ספרי קבלה בעברית כ""שקל הקודש"", ועמד במוקד המחלוקת ההיסטורית על קדמות הזוהר.",העמדת ספר הזוהר במרכז ארון הספרים היהודי — הטקסט המכונן של תורת הסוד.,"רבי שמעון בר יוחאי (ייחוס הזוהר), מקובלי גירונה",https://open.spotify.com/episode/5hjMOYSZfyk2PpvO1z7y60?si=xvtDucKGTcqSJ5rNgkG76A&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
347,דמות,פרופ' נחמה ליבוביץ,1905–1997,ריגה; ברלין; ירושלים,המאה ה־20,"פרשנות ולימוד תנ""ך","גיליונות, לימוד תנ""ך, פרשנות, הוראה, פרס ישראל","מורת הדור ללימוד תנ""ך. ""הגיליונות"" השבועיים שלה (1942–1993) לימדו דורות לקרוא פרשנות מקרא בעיון ביקורתי, והפכו את לימוד פרשת השבוע לנחלת הכלל.","דמוקרטיזציה של פרשנות המקרא — כל לומד יכול וחייב להשוות פרשנים ולשאול ""מה קשה לרש""י?"".","רש""י ופרשני המקרא, אחיה ישעיהו ליבוביץ",https://open.spotify.com/episode/6EaZkWizKCeYuAEQsTP6dy?si=2e9vYWwFTvS5LFsBXBBg6A
348,דמות,הרב אליהו אליעזר דסלר,1892–1953,ליטא; לונדון; גייטסהד; בני ברק,המאה ה־20,מוסר ומחשבת ישראל,"מכתב מאליהו, ישיבת קלם, נקודת הבחירה, משגיח רוחני פוניבז'","מגדולי אנשי המוסר במאה העשרים, חניך ישיבת קלם ומשגיח רוחני בישיבת פוניבז'. בספרו ""מכתב מאליהו"" גיבש תפיסה עמוקה של נפש האדם, הבחירה החופשית והנתינה.","""נקודת הבחירה"" — המאבק האמיתי בין טוב לרע מתרחש בגבול הנע שבין הרגל להיעדר בחירה; והרעיון שהאדם אוהב את מי שהוא נותן לו, לא רק את מי שנותן לו.","רבי ישראל מסלנט, ישיבת קלם, ישיבת פוניבז'",https://open.spotify.com/episode/59EdZjP2KomK9bh71JzxVm?si=G29DvxBSR6KAIoMMusxssA
349,דמות,רבי יהודה קורייאט,המאה ה־18–19,"מרוקו (פאס); ליבורנו, איטליה",אחרונים,קבלה ושימור מסורת,"מאור ושמש, קבלת המגרב, ליבורנו, הסכמת רבי חיים פינטו","מן המקובלים הבולטים של יהדות מרוקו ולימים מחכמי ליבורנו. חיבר את ""מאור ושמש"" (תקצ""ט/1839), אוצר מסורות קבליות של ספרד והמגרב, ושימש רבו ודודו של רבי אליהו בן אמוזג.","שימור והעברה — ריכוז מסורות קבליות עתיקות ממרוקו וספרד תחת קורת גג אחת, שהעניק בסיס לצמיחת הגותו המקורית של תלמידו בן אמוזג.","רבי יהודה בן עטר (סבו), רבי חיים פינטו הראשון, רבי אליהו בן אמוזג (תלמידו ובן אחותו)",https://open.spotify.com/episode/1nKOHBJ23TLr78cnGNeESU?si=D48u0GKySzW0Abo48o_s6A
350,דמות,רבי חביב טולידאנו,המחצית הראשונה של המאה ה־19,"מקנס, מרוקו",אחרונים,"הלכה, מחשבה ותיעוד משפחתי","תרומת הקודש, אילן יוחסין טולידאנו, מכון טולידאנו ירושלים","מחכמי מקנס שביקש לחזק את יסודות האמונה מול השפעות אירופיות חדשות. חיבר את ""תרומת הקודש"" וערך אילן יוחסין מפורט של משפחת טולידאנו.",שמירת המסורת כשילוב בין חינוך תורני להנחלת זיכרון היסטורי־משפחתי; בדורות מאוחרים המשיכו צאצאיו בדרך של הנגשה והסברה במקום הסתגרות.,"משפחת טולידאנו, מכון טולידאנו בירושלים",https://open.spotify.com/episode/7rk4ockzy5i8MSThnAtJ2b?si=YkCuaUNBRfWHO4U4QqJEZw
351,דמות,הרבי מלובביץ' (רבי מנחם מנדל שניאורסון),1902–1994,ניקולייב; ברלין ופריז; ברוקלין,המאה ה־20,חסידות והנהגה עולמית,"חב""ד־ליובאוויטש, מפעל השלוחים, מבצעים, שלמות ארץ ישראל","האדמו""ר השביעי של חב""ד־ליובאוויטש, שילב למדנות תורנית עם השכלה מדעית רחבה ויצר את מפעל השלוחים העולמי ואת ""המבצעים"" להפצת תורה ומצוות בקרב כלל ישראל.","אחריות אישית אוניברסלית — לכל יהודי יש שליחות ייחודית, וכל אדם וכל מקום ראויים לגישה ישירה לתורה וזהות יהודית, ללא תלות במרחק ממרכזי התורה.","רבי לוי יצחק שניאורסון (אביו), חסידות חב""ד, מפעל השלוחים",https://open.spotify.com/episode/7fQ0ISYl8xXKqbqQN9DLub?si=9bkwsQotQFeCXu1IUjS5cA
352,דמות,הצמח צדק (רבי מנחם מנדל שניאורסון),1789–1866,"ליובאוויטש, רוסיה",אחרונים,חסידות והלכה,"שו""ת צמח צדק, וועידת פטרבורג, קנטוניסטים, דרך מצוותיך","האדמו""ר השלישי של חב""ד, שילב הנהגה חסידית עם פסיקה הלכתית רחבת היקף בשו""ת ""צמח צדק"", ופעל להתרת עגונות ולהגנת יהדות רוסיה מול גזירות השלטון הצארי.","חיבור בין חסידות להלכה — עצמאות מחשבתית בפסיקה תוך נאמנות למסורת, לצד עמידה ציבורית איתנה מול לחץ מדיני (וועידת פטרבורג, פרשת הקנטוניסטים).","רבי שניאור זלמן מלאדי (סבו), רבי דובער שניאורי (חמיו), בנו רבי שמואל (המהר""ש)",https://open.spotify.com/episode/42DP4ZMH6a423Kz6EW30Tx?si=FeoyMM7iTB25Xxa1qSqB5w%0A
353,דמות,"רבי דובער שניאורי (האדמו""ר האמצעי)",1773–1827,"ליאדי; ליובאוויטש, רוסיה",אחרונים,חסידות והנהגה ציבורית,"רחובות הנהר, מושבות חקלאיות, חברון, חג הגאולה (י' בכסלו)","האדמו""ר השני של חב""ד, העביר את מרכז החסידות לליובאוויטש, הרחיב שיטתית את רעיונות אביו (""רחובות הנהר""), ופעל להקמת מושבות חקלאיות ולחיזוק היישוב בחברון.","הרחבה שיטתית של המחשבה החסידית לצד אחריות חברתית־כלכלית מעשית — מיסוד החסידות כתנועה בעלת מוסדות ופעילות ציבורית רחבה, לא רק סביב דמות המייסד.","רבי שניאור זלמן מלאדי (אביו וסבו של אשתו), רבי אהרן מסטרשלה, חתנו הצמח צדק",https://open.spotify.com/episode/0J2MRPc1AEBI5eLsklGJ7k?si=dG5KDIysR66JS3CHNW3-lw
354,דמות,רבי יהושע בן חנניה,המאה ה־1–2 לספירה,"יבנה, ארץ ישראל",תנאים,הלכה ומנהיגות ציבורית,"לא בשמים היא, תנורו של עכנאי, יבנה, נפח","תלמיד רבן יוחנן בן זכאי, מגדולי חכמי דור יבנה. התפרנס ממלאכת נפחות, הכריע במחלוקת ""תנורו של עכנאי"" את עקרון ""לא בשמים היא"", ושימש נציג הציבור היהודי מול השלטון הרומי.","""לא בשמים היא"" — לאחר מתן תורה ההכרעה ההלכתית נתונה לשיקול דעת חכמים ולא לאותות ומופתים משמימיים.","רבן יוחנן בן זכאי, רבי אליעזר בן הורקנוס, רבן גמליאל",https://open.spotify.com/episode/4GuQl9XmYIYRZ48ooTWu4Q?si=_HTGr4CjQH6pTzvYmaQK5Q
355,דמות,שמאי הזקן,"המאה ה־1 לפנה""ס",ירושלים,ימי בית שני,הלכה והנהגה,"בית שמאי, סנהדרין, אמת הבניין, שמונה עשר דבר","אב בית הדין של הסנהדרין הגדולה לצד הלל הזקן, בנאי במקצועו ומייסד ""בית שמאי"". הדגיש קפדנות הלכתית וגבולות ברורים, לצד עקרונות מוסריים כגון ""הוי מקבל את כל האדם בסבר פנים יפות"".","הצבת אידיאל השלמות כמוקד ההלכה — הבדל עקרוני מבית הלל, שהתמקדו במציאות הקיימת ולא רק בפוטנציאל השאיפה.","הלל הזקן, בית שמאי, בית הלל",https://open.spotify.com/episode/65lrqwQXxGTkyqwur7nji0?si=Ay_LuqUuTrqIIJkzNpWaug
356,דמות,הלל הזקן,"המאה ה־1 לפנה""ס–1 לספירה",בבל; ירושלים,ימי בית שני,הלכה והנהגה,"נשיא הסנהדרין, פרוזבול, שבע מידות, בית הלל","עלה מבבל בעוני, התמנה לנשיא הסנהדרין לאחר שפתר סוגיית קרבן פסח בשבת, וייסד את ""שבע המידות"" לדרשת התורה. תיקן את הפרוזבול, ונודע בענוותנותו ובסבלנותו.","""דעלך סני לחברך לא תעביד"" — עקרון מוסרי מכונן, לצד ענווה ורגישות למציאות כיסוד לפסיקת ההלכה כבית הלל.","שמאי הזקן, שמעיה ואבטליון, בית הלל",https://open.spotify.com/episode/65r9B8NufuGizEvQUqbuM5?si=YZ_2WsohSWeQbGuoVC_ang
357,דמות,רבי אלעזר בן עזריה,המאה ה־1–2 לספירה,"יבנה, ארץ ישראל",תנאים,הלכה והנהגה,"נשיא הסנהדרין, הרחבת בית המדרש, יבנה, עשירות ופרנסת תלמידי חכמים","צאצא לעזרא הסופר, התמנה לנשיא הסנהדרין בגיל שמונה עשרה בעקבות משבר ההנהגה סביב רבן גמליאל. ביטל את ההגבלה על הכניסה לבית המדרש והרחיב משמעותית את מעגל הלומדים.",פתיחת שערי בית המדרש לכלל המבקשים ללמוד — הכוח הרוחני של התורה גדל דווקא כשמספר הלומדים מתרחב.,"רבן גמליאל, רבי יהושע בן חנניה, רבי עקיבא",https://open.spotify.com/episode/581Qie3gJwcdnadi7wnNF2?si=NUWvc9q9QEKZ2_7X-kd36w
358,דמות,רבי אליעזר הגדול (רבי אליעזר בן הורקנוס),המאה ה־1–2 לספירה,"לוד; יבנה, ארץ ישראל",תנאים,הלכה ומסורת,"תנורו של עכנאי, נידוי, ישיבת לוד, בור סוד שאינו מאבד טיפה","תלמיד רבן יוחנן בן זכאי ומייסד ישיבת לוד, נודע בנאמנותו המוחלטת למסורת. במחלוקת ""תנורו של עכנאי"" הובא אותות משמים לתמיכת עמדתו, אך נדחה עקרונית ובסופו של דבר נודה.","נאמנות מוחלטת למסורת שנמסרה מסיני, אף כשהיא מובילה לעימות עם עמדת הרוב ולמחיר אישי כבד — נידוי ובדידות עד יום מותו.","רבן יוחנן בן זכאי, רבי יהושע בן חנניה, רבי עקיבא",https://open.spotify.com/episode/1tmf7drUh7Zwm09Ndy0seU?si=Fl_mRgiTRDKJx9UA2iZ_2A
359,דמות,"רבי אליהו בן חיים (הראנ""ח)",בקירוב 1530–1613,"אדריאנופול; קושטא, האימפריה העות'מאנית",אחרונים,פסיקת הלכה והנהגה,"חכם באשי, קושטא, התקבלות השולחן ערוך, כתר ארם צובה","כיהן כחכם באשי של קושטא ואיחד תחת סמכותו קהילות ממסורות שונות באימפריה העות'מאנית. עדותו בשו""ת שלו על התקבלות פסיקת רבי יוסף קארו היא מקור היסטורי מרכזי, ודקדק בנוסח המקרא על פי כתר ארם צובה.","איחוד הלכתי של קהילות מפוצלות תחת סמכות פסיקה מוסכמת, ותיעוד היסטורי מדויק של התקבלות השולחן ערוך כספר הפסיקה המרכזי.","רבי יוסף קארו, רבי מרדכי מטלון, רבי עקיבא איגר",https://open.spotify.com/episode/0N8Q02IOA6RpiF5hrOfEKn?si=UzuDBm9YQCepHYmkGzcZug
